Date,In,Out,Total_Hours
26 06 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
25 06 2021,10:43,19:37,8:54
24 06 2021,10:16,21:29,11:13
23 06 2021,11:05,20:42,9:37
22 06 2021,10:52,21:43,10:51
21 06 2021,10:59,21:00,10:01
20 06 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
19 06 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
18 06 2021,11:50,21:34,9:44
17 06 2021,11:41,20:23,8:42
16 06 2021,10:09,20:35,10:26
15 06 2021,11:05,20:44,9:39
14 06 2021,10:52,21:04,10:12
13 06 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
12 06 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
11 06 2021,11:17,20:26,9:09
10 06 2021,10:40,22:22,11:42
9 06 2021,10:41,20:53,10:12
8 06 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
7 06 2021,11:23,21:05,9:42
6 06 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
5 06 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
4 06 2021,10:45,20:56,10:11
3 06 2021,9:01,15:18,6:17
2 06 2021,11:01,20:25,9:24
1 06 2021,11:12,21:28,10:16
31 05 2021,10:32,20:41,10:09
30 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
29 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
28 05 2021,10:34,20:12,9:38
27 05 2021,11:02,21:37,10:35
26 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
25 05 2021,10:50,21:49,10:59
24 05 2021,9:54,20:35,10:41
23 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
22 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
21 05 2021,10:45,21:16,10:31
20 05 2021,10:33,22:18,11:45
19 05 2021,10:57,21:14,10:17
18 05 2021,10:36,20:52,10:16
17 05 2021,11:17,20:51,9:34
16 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
15 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
14 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
13 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
12 05 2021,10:50,20:30,9:40
11 05 2021,10:45,20:49,10:04
10 05 2021,10:41,21:10,10:29
9 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
8 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
7 05 2021,10:57,19:17,8:20
6 05 2021,10:45,21:50,11:05
5 05 2021,10:40,20:50,10:10
4 05 2021,8:34,15:27,6:53
3 05 2021,10:36,21:18,10:42
2 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
1 05 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
30 04 2021,10:30,20:34,10:04
29 04 2021,10:54,21:48,10:54
28 04 2021,10:58,20:26,9:28
27 04 2021,11:04,20:45,9:41
26 04 2021,10:33,20:34,10:01
25 04 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
24 04 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
23 04 2021,10:18,22:40,12:22
22 04 2021,11:03,19:50,8:47
21 04 2021,11:12,21:40,10:28
20 04 2021,10:57,20:10,9:13
19 04 2021,10:37,20:40,10:03
18 04 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
17 04 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
16 04 2021,11:12,20:30,9:18
15 04 2021,10:04,21:32,11:28
14 04 2021,10:56,21:17,10:21
13 04 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
12 04 2021,11:07,22:28,11:21
11 04 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
10 04 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
9 04 2021,11:03,20:38,9:35
8 04 2021,10:48,21:03,10:15
7 04 2021,10:56,21:03,10:07
6 04 2021,10:59,21:00,10:01
5 04 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
4 04 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
3 04 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
2 04 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
1 04 2021,10:17,21:19,11:02
31 03 2021,10:57,20:30,9:33
30 03 2021,11:01,20:19,9:18
29 03 2021,11:09,20:00,8:51
28 03 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
27 03 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
26 03 2021,11:01,21:34,10:33
25 03 2021,11:03,21:12,10:09
24 03 2021,10:59,21:56,10:57
23 03 2021,10:58,20:33,9:35
22 03 2021,11:22,19:47,8:25
21 03 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
20 03 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
19 03 2021,11:02,20:48,9:46
18 03 2021,12:19,20:39,8:20
17 03 2021,10:48,19:34,8:46
16 03 2021,11:01,21:00,9:59
15 03 2021,10:58,20:19,9:21
14 03 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
13 03 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
12 03 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
11 03 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
10 03 2021,9:59,21:52,11:53
9 03 2021,10:30,20:38,10:08
8 03 2021,9:57,21:04,11:07
7 03 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
6 03 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
5 03 2021,11:00,21:16,10:16
4 03 2021,11:01,22:19,11:18
3 03 2021,10:39,19:37,8:58
2 03 2021,10:54,22:04,11:10
1 03 2021,10:55,20:32,9:37
28 02 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
27 02 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
26 02 2021,8:02,15:41,7:39
25 02 2021,10:35,20:49,10:14
24 02 2021,10:55,19:57,9:02
23 02 2021,11:03,20:51,9:48
22 02 2021,10:52,20:37,9:45
21 02 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
20 02 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
19 02 2021,10:24,20:30,10:06
18 02 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
17 02 2021,11:08,20:57,9:49
16 02 2021,11:51,20:43,8:52
15 02 2021,10:59,19:55,8:56
14 02 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
13 02 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
12 02 2021,11:00,20:06,9:06
11 02 2021,10:40,20:48,10:08
10 02 2021,10:49,20:18,9:29
9 02 2021,10:18,20:07,9:49
8 02 2021,10:55,20:50,9:55
7 02 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
6 02 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
5 02 2021,11:48,20:01,8:13
4 02 2021,9:57,21:28,11:31
3 02 2021,10:41,20:18,9:37
2 02 2021,10:51,20:33,9:42
1 02 2021,10:36,19:52,9:16
31 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
30 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
29 01 2021,10:55,19:16,8:21
28 01 2021,10:32,19:36,9:04
27 01 2021,10:30,20:36,10:06
26 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
25 01 2021,10:34,17:25,6:51
24 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
23 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
22 01 2021,10:39,20:15,9:36
21 01 2021,11:33,19:25,7:52
20 01 2021,10:56,20:05,9:09
19 01 2021,10:35,21:36,11:01
18 01 2021,11:49,21:10,9:21
17 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
16 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
15 01 2021,10:54,19:58,9:04
14 01 2021,10:39,18:26,7:47
13 01 2021,10:36,20:32,9:56
12 01 2021,10:52,20:06,9:14
11 01 2021,10:45,20:31,9:46
10 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
9 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
8 01 2021,10:52,20:05,9:13
7 01 2021,10:46,19:45,8:59
6 01 2021,10:27,19:57,9:30
5 01 2021,10:47,19:37,8:50
4 01 2021,9:49,20:00,10:11
3 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
2 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
1 01 2021,Public Holiday/Weekend,Public Holiday/Weekend,0:00
31 12 2020,8:49,18:34,9:45
30 12 2020,11:23,23:01,11:38
29 12 2020,10:45,20:08,9:23
28 12 2020,10:35,20:29,9:54
27 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
26 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
25 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
24 12 2020,10:27,20:08,9:41
23 12 2020,12:03,19:55,7:52
22 12 2020,12:13,20:02,7:49
21 12 2020,10:26,20:30,10:04
20 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
19 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
18 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
17 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
16 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
15 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
14 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
13 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
12 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
11 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
10 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
9 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
8 12 2020,11:24,20:30,9:06
7 12 2020,12:14,20:09,7:55
6 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
